model,cell_type,n,pearson_r,pearson_p,spearman_r,spearman_p,mae,r2,pearson_r_ci_low,pearson_r_ci_high,bootstrap_status,is_best_model,best_model
ElasticNet,respiratory tract hillock cell,130,0.10724499252711943,0.2245655250268439,0.2214574569480401,0.011336895794730054,0.11417004137458638,-0.2574563853955072,-0.05236697186659146,0.2966508718871081,ok,True,ElasticNet
RandomForest,respiratory tract hillock cell,130,0.07787093558868224,0.3785190408290754,0.1278446750958149,0.1471895098898846,0.11839897746605792,-0.14310183237988716,-0.08704077024806318,0.25145439537044095,ok,False,ElasticNet
ElasticNet,serous secreting cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,serous secreting cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,smooth muscle cell,130,0.08120364852156083,0.35838867119787937,0.1475692326666989,0.0938393309099142,0.021533419062961256,-0.2108359236341668,-0.06544827496973972,0.23033522112319982,ok,False,RandomForest
RandomForest,smooth muscle cell,130,0.12007356505047814,0.17359100559542953,0.14385402954103524,0.10250021231465625,0.020890582241779324,-0.10991777188641194,-0.019667971056773384,0.282879285951459,ok,True,RandomForest
ElasticNet,stromal cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,stromal cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,tracheobronchial goblet cell,130,0.2701816950948713,0.0018783451234708445,0.27785106596731746,0.0013711380844493373,0.030266766868803436,-0.00950808898910882,0.11078047584067025,0.41857829279071646,ok,True,ElasticNet
RandomForest,tracheobronchial goblet cell,130,0.22659513616280252,0.009529747206020619,0.2204405479675631,0.011728265479620355,0.029870925972020426,0.030245895519842247,0.06610958317574092,0.3910094488246474,ok,False,ElasticNet
ElasticNet,tracheobronchial serous cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,tracheobronchial serous cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,tracheobronchial smooth muscle cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,tracheobronchial smooth muscle cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,vein endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,vein endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
